#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 02 20 06 00 00 1 3587.342
2022 02 20 05 45 00 1 3587.318
2022 02 20 05 30 00 1 3587.311
2022 02 20 05 15 00 1 3587.325
2022 02 20 05 00 00 1 3587.359
2022 02 20 04 45 00 1 3587.410
2022 02 20 04 30 00 1 3587.481
2022 02 20 04 15 00 1 3587.571
2022 02 20 04 00 00 1 3587.676
2022 02 20 03 45 00 1 3587.794
2022 02 20 03 30 00 1 3587.929
2022 02 20 03 15 00 1 3588.072
2022 02 20 03 00 00 1 3588.225
2022 02 20 02 45 00 1 3588.379
2022 02 20 02 30 00 1 3588.538
2022 02 20 02 15 00 1 3588.699
2022 02 20 02 00 00 1 3588.857
2022 02 20 01 45 00 1 3589.011
2022 02 20 01 30 00 1 3589.159
2022 02 20 01 15 00 1 3589.298
2022 02 20 01 00 00 1 3589.423
2022 02 20 00 45 00 1 3589.538
2022 02 20 00 30 00 1 3589.635
2022 02 20 00 15 00 1 3589.718
2022 02 20 00 00 00 1 3589.782
2022 02 19 23 45 00 1 3589.828
2022 02 19 23 30 00 1 3589.859
2022 02 19 23 15 00 1 3589.867
2022 02 19 23 00 00 1 3589.857
2022 02 19 22 45 00 1 3589.830
2022 02 19 22 30 00 1 3589.782
2022 02 19 22 15 00 1 3589.718
2022 02 19 22 00 00 1 3589.641
2022 02 19 21 45 00 1 3589.546
2022 02 19 21 30 00 1 3589.439
2022 02 19 21 15 00 1 3589.322
2022 02 19 21 00 00 1 3589.197
2022 02 19 20 45 00 1 3589.065
2022 02 19 20 30 00 1 3588.930
2022 02 19 20 15 00 1 3588.788
2022 02 19 20 00 00 1 3588.649
2022 02 19 19 45 00 1 3588.514
2022 02 19 19 30 00 1 3588.388
2022 02 19 19 15 00 1 3588.267
2022 02 19 19 00 00 1 3588.153
2022 02 19 18 45 00 1 3588.051
2022 02 19 18 30 00 1 3587.963
2022 02 19 18 15 00 1 3587.892
2022 02 19 18 00 00 1 3587.835
2022 02 19 17 45 00 1 3587.793
2022 02 19 17 30 00 1 3587.768
2022 02 19 17 15 00 1 3587.764
2022 02 19 17 00 00 1 3587.779
2022 02 19 16 45 00 1 3587.812
2022 02 19 16 30 00 1 3587.857
2022 02 19 16 15 00 1 3587.922
2022 02 19 16 00 00 1 3588.000
2022 02 19 15 45 00 1 3588.092
2022 02 19 15 30 00 1 3588.197
2022 02 19 15 15 00 1 3588.317
2022 02 19 15 00 00 1 3588.444
2022 02 19 14 45 00 1 3588.579
2022 02 19 14 30 00 1 3588.714
2022 02 19 14 15 00 1 3588.853
2022 02 19 14 00 00 1 3588.991
2022 02 19 13 45 00 1 3589.123
2022 02 19 13 30 00 1 3589.251
2022 02 19 13 15 00 1 3589.373
2022 02 19 13 00 00 1 3589.482
2022 02 19 12 45 00 1 3589.581
2022 02 19 12 30 00 1 3589.667
2022 02 19 12 15 00 1 3589.736
2022 02 19 12 00 00 1 3589.790
2022 02 19 11 45 00 1 3589.827
2022 02 19 11 30 00 1 3589.843
2022 02 19 11 15 00 1 3589.842
2022 02 19 11 00 00 1 3589.820
2022 02 19 10 45 00 1 3589.777
2022 02 19 10 30 00 1 3589.717
2022 02 19 10 15 00 1 3589.637
2022 02 19 10 00 00 1 3589.541
2022 02 19 09 45 00 1 3589.433
2022 02 19 09 30 00 1 3589.303
2022 02 19 09 15 00 1 3589.163
2022 02 19 09 00 00 1 3589.015
2022 02 19 08 45 00 1 3588.858
2022 02 19 08 30 00 1 3588.698
2022 02 19 08 15 00 1 3588.533
2022 02 19 08 00 00 1 3588.369
2022 02 19 07 45 00 1 3588.206
2022 02 19 07 30 00 1 3588.047
2022 02 19 07 15 00 1 3587.895
2022 02 19 07 00 00 1 3587.751
2022 02 19 06 45 00 1 3587.618
2022 02 19 06 30 00 1 3587.499
2022 02 19 06 15 00 1 3587.399
2022 02 19 06 00 00 1 3587.312
2022 02 19 05 45 00 1 3587.243
2022 02 19 05 30 00 1 3587.197
2022 02 19 05 15 00 1 3587.168
2022 02 19 05 00 00 1 3587.162
2022 02 19 04 45 00 1 3587.174
2022 02 19 04 30 00 1 3587.214
2022 02 19 04 15 00 1 3587.268
2022 02 19 04 00 00 1 3587.341
2022 02 19 03 45 00 1 3587.434
2022 02 19 03 30 00 1 3587.542
2022 02 19 03 15 00 1 3587.668
2022 02 19 03 00 00 1 3587.808
2022 02 19 02 45 00 1 3587.960
2022 02 19 02 30 00 1 3588.120
2022 02 19 02 15 00 1 3588.289
2022 02 19 02 00 00 1 3588.460
2022 02 19 01 45 00 1 3588.634
2022 02 19 01 30 00 1 3588.808
2022 02 19 01 15 00 1 3588.974
2022 02 19 01 00 00 1 3589.135
2022 02 19 00 45 00 1 3589.286
2022 02 19 00 30 00 1 3589.429
2022 02 19 00 15 00 1 3589.554
2022 02 19 00 00 00 1 3589.670
2022 02 18 23 45 00 1 3589.767
2022 02 18 23 30 00 1 3589.849
2022 02 18 23 15 00 1 3589.911
2022 02 18 23 00 00 1 3589.949
2022 02 18 22 45 00 1 3589.975
2022 02 18 22 30 00 1 3589.976
2022 02 18 22 15 00 1 3589.962
2022 02 18 22 00 00 1 3589.929
2022 02 18 21 45 00 1 3589.875
2022 02 18 21 30 00 1 3589.805
